Income,1,2,3,4,5,6
59400,549,902,1169,1401,1606,1780
59500,550,903,1171,1403,1608,1782
59600,551,905,1173,1405,1610,1785
59700,552,907,1176,1406,1612,1787
59800,552,908,1178,1408,1615,1789
59900,553,910,1180,1410,1617,1792
60000,554,911,1182,1412,1619,1794
60100,555,913,1184,1414,1621,1796
60200,556,914,1186,1416,1623,1799
60300,557,916,1188,1418,1626,1801
60400,558,918,1190,1420,1628,1804
60500,559,919,1192,1421,1630,1806
60600,560,921,1194,1423,1632,1809
60700,560,923,1196,1425,1634,1811
60800,561,924,1198,1427,1636,1814
60900,562,926,1200,1429,1639,1816
61000,563,928,1202,1431,1641,1819
61100,564,930,1204,1433,1643,1821
61200,565,931,1206,1435,1646,1824
61300,566,933,1208,1437,1648,1826
61400,567,935,1210,1439,1650,1829
61500,568,936,1212,1441,1652,1831
61600,568,938,1214,1443,1655,1834
61700,569,940,1216,1445,1657,1836
61800,570,941,1218,1447,1659,1839
61900,571,943,1221,1449,1661,1841
62000,572,945,1223,1451,1664,1844
62100,573,947,1225,1453,1666,1846
62200,574,948,1227,1456,1668,1849
62300,575,950,1229,1458,1671,1851
62400,576,952,1231,1461,1673,1854
62500,576,953,1233,1463,1675,1856
62600,577,955,1235,1466,1677,1859
62700,578,957,1238,1468,1680,1861
62800,579,958,1240,1470,1682,1864
62900,580,960,1242,1473,1684,1866
63000,581,962,1244,1475,1686,1869
63100,582,964,1246,1477,1688,1871
63200,583,965,1248,1480,1691,1874
63300,584,967,1250,1482,1693,1876
63400,585,969,1252,1485,1695,1879
63500,586,970,1254,1487,1697,1881
63600,587,972,1257,1490,1700,1884
63700,588,974,1259,1492,1702,1886
63800,589,975,1261,1494,1704,1889
63900,590,977,1263,1497,1706,1891
64000,591,979,1265,1499,1709,1894
64100,592,981,1267,1501,1711,1897
64200,593,983,1269,1504,1714,1899
64300,594,984,1271,1506,1716,1902
64400,595,986,1273,1509,1718,1904
64500,596,988,1275,1511,1720,1907
64600,597,990,1278,1513,1723,1909
64700,598,991,1280,1516,1725,1912
64800,599,993,1282,1518,1727,1914
64900,600,995,1284,1521,1730,1917
65000,600,997,1286,1523,1732,1920
65100,601,998,1288,1525,1734,1923
65200,602,1000,1290,1528,1736,1925
65300,603,1001,1292,1530,1739,1928
65400,604,1003,1294,1533,1741,1930
65500,605,1004,1296,1535,1743,1933
65600,606,1006,1299,1537,1745,1935
65700,606,1007,1301,1540,1748,1938
65800,607,1009,1303,1542,1750,1940
65900,608,1010,1305,1545,1752,1943
66000,609,1011,1307,1547,1754,1945
66100,610,1012,1309,1549,1756,1948
66200,611,1014,1311,1552,1759,1950
66300,612,1015,1313,1554,1761,1953
66400,613,1017,1315,1557,1763,1955
66500,614,1018,1317,1559,1766,1958
66600,615,1020,1320,1562,1768,1961
66700,616,1021,1322,1564,1771,1963
66800,617,1023,1324,1567,1773,1966
66900,618,1024,1326,1569,1775,1969
67000,619,1026,1328,1572,1778,1971
67100,620,1027,1330,1575,1781,1974
67200,621,1029,1333,1577,1783,1976
67300,622,1030,1335,1580,1786,1979
67400,623,1032,1337,1582,1788,1982
67500,624,1033,1339,1585,1791,1984
67600,625,1035,1342,1587,1793,1987
67700,626,1036,1344,1590,1796,1990
67800,627,1038,1346,1592,1798,1992
67900,628,1039,1348,1595,1801,1995
68000,628,1041,1351,1597,1803,1997
68100,629,1042,1353,1600,1806,2000
68200,630,1044,1355,1602,1809,2002
68300,631,1045,1358,1605,1811,2005
68400,632,1047,1360,1607,1814,2008
68500,633,1048,1362,1610,1817,2010
68600,634,1050,1364,1612,1820,2013
68700,635,1051,1367,1615,1823,2016
68800,636,1053,1369,1618,1826,2018
68900,637,1054,1371,1620,1828,2021
69000,638,1056,1373,1623,1831,2024
69100,639,1058,1375,1626,1834,2027
69200,640,1059,1377,1628,1837,2029
69300,641,1061,1380,1631,1839,2032
69400,642,1062,1382,1633,1842,2034
69500,643,1064,1384,1636,1845,2037
69600,644,1065,1386,1638,1848,2040
69700,645,1067,1389,1641,1851,2042
69800,646,1068,1391,1643,1853,2045
69900,647,1070,1393,1646,1856,2048
70000,648,1072,1395,1648,1859,2050
70100,649,1074,1397,1650,1862,2053
70200,650,1075,1399,1653,1865,2055
70300,651,1077,1402,1655,1867,2058
70400,652,1078,1404,1658,1870,2061
70500,653,1080,1406,1660,1873,2063
70600,654,1081,1408,1663,1876,2066
70700,655,1083,1411,1665,1879,2069
70800,656,1084,1413,1668,1881,2071
70900,657,1086,1415,1670,1884,2074
71000,658,1087,1417,1673,1887,2077
71100,659,1089,1419,1676,1890,2080
71200,660,1090,1421,1678,1893,2082
71300,661,1092,1424,1681,1895,2085
71400,662,1093,1426,1683,1898,2088
71500,663,1095,1428,1686,1901,2091
71600,664,1096,1430,1688,1904,2093
71700,665,1098,1433,1691,1906,2096
71800,666,1099,1435,1693,1909,2099
71900,666,1101,1437,1696,1912,2101
72000,667,1102,1439,1699,1915,2104
72100,668,1103,1441,1701,1917,2106
72200,669,1105,1443,1703,1920,2108
72300,670,1106,1445,1706,1922,2111
72400,670,1107,1447,1708,1925,2113
72500,671,1108,1449,1710,1927,2115
72600,672,1110,1450,1712,1930,2117
72700,673,1111,1452,1715,1932,2120
72800,674,1112,1454,1717,1935,2122
72900,675,1114,1456,1719,1937,2124
73000,676,1115,1458,1721,1940,2126
73100,677,1116,1460,1723,1943,2129
73200,678,1118,1462,1726,1945,2132
73300,679,1119,1464,1728,1948,2134
73400,680,1121,1466,1731,1950,2137
73500,681,1122,1468,1733,1953,2140
73600,681,1123,1470,1735,1956,2143
73700,682,1125,1472,1738,1958,2145
73800,683,1126,1474,1740,1961,2148
73900,684,1127,1477,1742,1963,2151
74000,685,1129,1479,1745,1966,2154
74100,686,1130,1481,1748,1969,2157
74200,687,1132,1483,1750,1972,2160
74300,688,1133,1486,1753,1974,2163
74400,689,1135,1488,1755,1977,2166
74500,690,1136,1490,1758,1980,2169
74600,691,1138,1492,1760,1983,2172
74700,692,1139,1494,1763,1985,2175
74800,693,1141,1497,1765,1988,2178
74900,694,1142,1499,1768,1991,2181
75000,695,1144,1501,1770,1994,2184
75100,696,1146,1503,1773,1997,2187
75200,697,1147,1505,1775,2000,2190
75300,698,1149,1508,1778,2003,2193
75400,699,1150,1510,1780,2005,2196
75500,700,1152,1512,1783,2008,2199
75600,701,1153,1514,1786,2011,2203
75700,702,1155,1516,1788,2014,2206
75800,703,1157,1519,1791,2017,2209
75900,703,1158,1521,1793,2020,2212
76000,704,1160,1523,1796,2023,2215
76100,705,1162,1525,1799,2026,2218
76200,706,1163,1527,1801,2029,2221
76300,707,1165,1529,1804,2032,2224
76400,708,1166,1531,1806,2034,2227
76500,709,1168,1533,1809,2037,2230
76600,710,1169,1535,1811,2040,2233
76700,711,1171,1537,1814,2043,2236
76800,712,1172,1539,1816,2046,2239
76900,713,1174,1541,1819,2049,2242
77000,714,1175,1543,1821,2051,2245
77100,715,1177,1545,1824,2054,2248
77200,716,1178,1547,1826,2057,2251
77300,717,1180,1549,1829,2059,2254
77400,718,1181,1551,1831,2062,2257
77500,719,1183,1553,1834,2065,2260
77600,720,1184,1555,1836,2068,2264
77700,721,1186,1557,1839,2071,2267
77800,722,1187,1559,1841,2074,2270
77900,723,1189,1561,1844,2076,2273
78000,724,1190,1563,1846,2079,2276
78100,725,1192,1565,1849,2082,2279
78200,726,1193,1567,1851,2085,2282
78300,727,1195,1569,1854,2087,2285
78400,728,1196,1571,1856,2090,2288
78500,729,1198,1573,1859,2093,2291
78600,730,1199,1575,1861,2096,2294
78700,731,1201,1576,1864,2099,2297
78800,732,1202,1578,1867,2101,2300
78900,733,1204,1580,1869,2104,2303
79000,734,1205,1582,1872,2107,2306
79100,735,1206,1584,1875,2110,2309
79200,736,1208,1586,1877,2113,2312
79300,737,1209,1588,1880,2115,2315
79400,738,1211,1590,1882,2118,2318
79500,739,1212,1592,1885,2121,2321
79600,740,1214,1594,1887,2124,2324
79700,741,1215,1596,1890,2127,2328
79800,741,1217,1598,1892,2129,2331
79900,742,1218,1600,1895,2132,2334
80000,743,1220,1602,1897,2135,2337
80100,744,1222,1604,1900,2138,2340
80200,745,1223,1606,1902,2141,2343
80300,746,1225,1608,1905,2143,2346
80400,747,1226,1610,1907,2146,2349
80500,748,1228,1612,1910,2149,2352
80600,749,1229,1613,1913,2152,2355
80700,750,1231,1615,1915,2154,2358
80800,751,1233,1617,1918,2157,2361
80900,752,1234,1619,1920,2160,2364
81000,753,1236,1621,1923,2163,2367
81100,754,1238,1623,1926,2166,2370
81200,755,1239,1625,1928,2169,2373
81300,756,1241,1627,1931,2172,2376
81400,757,1242,1629,1933,2174,2379
81500,758,1244,1631,1936,2177,2382
81600,759,1245,1633,1938,2180,2385
81700,760,1247,1635,1941,2183,2389
81800,761,1248,1637,1943,2186,2392
81900,762,1250,1639,1946,2189,2395
82000,763,1251,1641,1948,2192,2398
82100,764,1253,1643,1951,2195,2401
82200,765,1254,1645,1953,2198,2404
82300,766,1256,1647,1956,2201,2407
82400,767,1257,1649,1958,2203,2410
82500,768,1259,1651,1961,2206,2413
82600,769,1260,1652,1963,2209,2416
82700,770,1262,1654,1966,2212,2419
82800,771,1263,1656,1968,2215,2422
82900,772,1265,1658,1971,2218,2425
83000,773,1266,1660,1973,2220,2428
83100,774,1268,1662,1976,2223,2431
83200,775,1269,1664,1978,2226,2434
83300,776,1271,1666,1981,2228,2437
83400,777,1272,1668,1983,2231,2440
83500,778,1274,1670,1986,2234,2443
83600,779,1275,1672,1988,2237,2446
83700,780,1277,1674,1991,2240,2450
83800,781,1278,1676,1994,2243,2453
83900,782,1280,1678,1996,2245,2456
84000,783,1281,1680,1999,2248,2459
84100,784,1282,1682,2002,2251,2462
84200,785,1284,1684,2004,2254,2465
84300,786,1285,1686,2007,2256,2468
84400,787,1287,1688,2009,2259,2471
84500,788,1288,1690,2012,2262,2474
84600,789,1290,1692,2014,2265,2477
84700,790,1291,1694,2017,2268,2480
84800,791,1293,1696,2019,2270,2483
84900,792,1294,1698,2022,2273,2486
85000,792,1296,1700,2024,2276,2489
85100,793,1298,1702,2027,2279,2492
85200,794,1299,1704,2029,2282,2495
85300,795,1301,1706,2032,2284,2498
85400,796,1302,1708,2034,2287,2501
85500,797,1304,1710,2037,2290,2504
85600,798,1305,1712,2040,2293,2507
85700,799,1307,1714,2042,2296,2510
85800,800,1309,1716,2045,2298,2514
85900,801,1310,1717,2047,2301,2517
86000,802,1312,1719,2050,2304,2520
86100,803,1314,1721,2053,2307,2523
86200,804,1315,1723,2055,2310,2526
86300,805,1317,1725,2058,2312,2529
86400,806,1318,1727,2060,2315,2532
86500,807,1320,1729,2063,2318,2535
86600,808,1321,1731,2065,2321,2538
86700,809,1323,1733,2068,2323,2541
86800,810,1324,1735,2070,2326,2544
86900,811,1326,1737,2073,2329,2547
87000,812,1327,1739,2075,2332,2550
87100,813,1329,1741,2077,2335,2553
87200,814,1330,1743,2080,2338,2556
87300,815,1332,1745,2082,2341,2559
87400,816,1333,1747,2085,2343,2562
87500,817,1335,1749,2087,2346,2565
87600,818,1336,1751,2089,2349,2568
87700,819,1338,1753,2092,2352,2571
87800,820,1339,1754,2094,2355,2575
87900,821,1341,1756,2097,2358,2578
88000,822,1342,1758,2099,2361,2581
88100,823,1344,1760,2101,2364,2584
88200,824,1345,1762,2104,2367,2587
88300,825,1347,1764,2106,2370,2590
88400,826,1348,1766,2108,2372,2593
88500,827,1350,1768,2111,2375,2596
88600,828,1351,1770,2113,2378,2599
88700,829,1353,1772,2115,2381,2602
88800,829,1354,1774,2118,2384,2605
88900,830,1356,1776,2120,2387,2608
89000,831,1357,1778,2122,2389,2611
89100,832,1358,1780,2124,2392,2614
89200,833,1360,1782,2127,2395,2617
89300,834,1361,1784,2129,2397,2620
89400,835,1363,1786,2131,2400,2623
89500,836,1364,1788,2134,2403,2626
89600,837,1366,1790,2136,2406,2629
89700,838,1367,1791,2138,2409,2632
89800,839,1369,1793,2141,2412,2635
89900,840,1370,1795,2143,2414,2638
90000,841,1372,1797,2145,2417,2641
90100,842,1373,1799,2147,2420,2644
90200,843,1375,1801,2149,2422,2647
90300,844,1376,1802,2152,2425,2650
90400,845,1378,1804,2154,2428,2653
90500,846,1379,1806,2156,2431,2656
90600,847,1380,1808,2158,2433,2659
90700,847,1382,1810,2161,2436,2662
90800,848,1383,1811,2163,2439,2665
90900,849,1385,1813,2165,2442,2668
91000,850,1386,1815,2167,2444,2671
91100,851,1387,1817,2169,2447,2674
91200,852,1389,1819,2171,2449,2677
91300,853,1390,1821,2174,2452,2680
91400,854,1392,1822,2176,2455,2683
91500,855,1393,1824,2178,2458,2686
91600,856,1394,1826,2180,2460,2689
91700,857,1396,1828,2183,2463,2691
91800,857,1397,1830,2185,2466,2694
91900,858,1398,1832,2187,2469,2697
92000,859,1400,1834,2189,2471,2700
92100,860,1401,1836,2191,2474,2703
92200,861,1403,1838,2193,2476,2706
92300,862,1404,1839,2196,2479,2709
92400,862,1406,1841,2198,2482,2712
92500,863,1407,1843,2200,2485,2715
92600,864,1409,1845,2202,2487,2718
92700,865,1410,1847,2205,2490,2721
92800,866,1412,1848,2207,2493,2724
92900,867,1413,1850,2209,2496,2727
93000,867,1415,1852,2211,2498,2730
